a,jo,apa,ap,yna,ky,m,ynan,kyn,ja,re,ta,aseta,t,j
aimehnõ,,,,,,,,,,,,,,
,,,,,,mahse,,,,,,,,
,,,,,,,,,,reahse,,,,
,,,,,,,ynanahse,,,,,,,
,,,,,,,,,,,,,tytahse,
,,,,,,,,,,,,,tosẽkõ,
,,,,,,,,,,,,,topehke,
,,,,,,marõme,,,,,,,,
,,,,,,,,,,,,,turuikõ,
,,,,,,,,,,,,,,jũkõ
,,,,,,,,,,,,,typoenõ,
,,,,,,,,,jakome,,,,,
,jorokome,,,,,,,,,,,,,
,,,,,,,,,,,,,typyne,
,,,,,,,,,,,,,,jepeme
,,,,,kysekõ,,,,,,,,,
,,,,,,,,,,,,,tysekõ,
,,,,,,,,,,,,,,jekyry
,,,,,,,,,,,,,tyekyry,
,,,,,kymotye,,,,,,,,,
,,,,,,,,,jaĩkõ,,,,,
aĩkõ,,,,,,,,,,,,,,
,,,,,,,,,,,tarona,,,
,,,,,,,,,,,,,tarona,
aronanõ,,,,,,,,,,,,,,
aropone,,,,,,,,,,,,,,
,,,,,,mahno,,,,,,,,
,,,,ynanah,,,,,,,,,,
,,,,,,moky,,,,,,,,
,,,,,,,,,,,,,toky,
,,,apurutyã,,,,,,,,,,,
,,,,,,mokã,,,,,,,,
,,,,,,,,,,,,,tõtuhse,
,jotukuru,,,,,,,,,,,,,
,,,,,,mexiase,,,,,,,,
,,,,,,,ynanexiase,,,,,,,
,,,,,,,,,,,,,,jetũ
,,,,,,myhẽ,,,,,,,,
,,,,,,myhene,,,,,,,,
,,,,,,,,,,,tapõkõme,,,
,,,,,,mosehxo,,,,,,,,
,,,,,,,,,,,,,tyahse,
,,,apuhtoh,,,,,,,,,,,
apuhtoh,,,,,,,,,,,,,,
,,,,,,,,,jarone,,,,,
arone,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jarone
aporykõ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tupi,
,,,,,,,,,,,,,tyhkary,
aehtoh,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jehtoh
,joehtoh,,,,,,,,,,,,,
,,,,,,,,,,,tapukase,,,
,,,,,,,,,,,,,,jamaro
,,,,,kyzamaro,,,,,,,,,
azamaro,,,,,,,,,,,,,,
,,,aporiry,,,,,,,,,,,
amoriry,,,,,,,,,,,,,,
,,,,,,,,,,,,,,japoĩko
,,,,,,,,,,,,,tymyhse,
arykase,,,,,,,,,,,,,,
,,,,,,,,,,,tarykase,,,
,,,,ynanahse,,,,,,,,,,
,,,,,,,,,,,,,tonahse,
,,,,,,,,,,,,,,juakuru
,,,,,,,,,,,,,tũtãko,
,,,,,,,,kynoehne,,,,,,
,,,,,kynoehne,,,,,,,,,
,jotururu,,,,,,,,,,,,,
,,,,,,,,,jarãnao,,,,,
arãnao,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jarãnao
,,,,,,,,,,,,,typahse,
,,,,,,,,,,,tahtase,,,
,,,,,,,,,,,,,tahtase,
,,,,,,,,,,,,,tymise,
,,,,,,mehtory,,,,,,,,
,,,,,,,,,,,,,tũpore,
ahtara,,,,,,,,,,,,,,
,,,,,,mãsa,,,,,,,,
,,,,,,,,,,,,,tutupi,
,,,,,,,,,,,,,tynyhse,
,,,,,,,,,,,,,tiriiku,
,,,,,,,,,,,,,toepase,
,,,,,,mukãko,,,,,,,,
,,,,,,mexĩ,,,,,,,,
ahtary,,,,,,,,,,,,,,
,,,,,,,,,,,,,tokyise,
,,,,,,moinoro,,,,,,,,
,,,,,,moturu,,,,,,,,
,,,apiakãko,,,,,,,,,,,
,,,,,,,,,,,,,,jenery
anymyry,,,,,,,,,,,,,,
,,,,,,,,,,,,,typehse,
,,,,,,mosero,,,,,,,,
apoino,,,,,,,,,,,,,,
,,,,,,,,,,,,,tosae,
,,,,,,,,,,,,,tanỹse,
,,,,,,,,,,,,,takehse,
,,,,,,mynyhme,,,,,,,,
,,,,,,,,,,,takuohse,,,
asakõ,,,,,,,,,,,,,,
,,,,,kyryryme,,,,,,,,,
,,,,,,,ynanakene,,,,,,,
,,,,,,makene,,,,,,,,
,,,,,,,,,,,,,tonure,
,,,,,,,,,,,,,tuekase,
,,,,,,,,,,,,,,juteume
,,,,,,,,,,,,,,jaxiry
,,,apaxiry,,,,,,,,,,,
,,,,,,,,,,,,,tynahke,
,,,,,,,,,jaropory,,,,,
aropory,,,,,,,,,,,,,,
,,,apiakane,,,,,,,,,,,
,,,,,,makatã,,,,,,,,
,joãome,,,,,,,,,,,,,
,,,,,,,,,,,,,,joãome
